Epoch,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22
1,0.042256348,0.042561647,0.04254795,0.04252451,0.042256348,0.042256348,0.042559355,0.109946355,0.042575836,0.042546794,0.042256348,0.042256348,0.042256348,0.042566173,0.04256041,0.04253471,0.042256348,0.042256348,0.042256348,0.042256348,0.042256348,0.042256348
2,0.04225341,0.042560615,0.042553123,0.04225341,0.04225341,0.04225341,0.042580497,0.10989943,0.04258529,0.042544086,0.04225341,0.04225341,0.04225341,0.042589094,0.04257889,0.042538933,0.04225341,0.04225341,0.042529166,0.04225341,0.04225341,0.04225341
3,0.042233814,0.042542167,0.04252535,0.042233814,0.042233814,0.042233814,0.042559385,0.11038833,0.04255262,0.042509615,0.042233814,0.042233814,0.042233814,0.04256544,0.04254674,0.042506374,0.042498253,0.042233814,0.042233814,0.042233814,0.042233814,0.042233814
4,0.042302717,0.042641714,0.042612884,0.042302717,0.042302717,0.042302717,0.042663455,0.108690776,0.042648956,0.042596143,0.042302717,0.042302717,0.042302717,0.04265437,0.042650163,0.04260677,0.042302717,0.042302717,0.042602245,0.042302717,0.042302717,0.042302717
5,0.042328473,0.042678386,0.042653263,0.042629138,0.042328473,0.042328473,0.042689938,0.10805578,0.042694967,0.04263711,0.042328473,0.042328473,0.042328473,0.042694245,0.042686064,0.042639393,0.042328473,0.042328473,0.042328473,0.042328473,0.042328473,0.042328473
6,0.04236739,0.04272689,0.042707223,0.04236739,0.04236739,0.04236739,0.042740256,0.107059315,0.042756554,0.042696513,0.04236739,0.04236739,0.04236739,0.04277198,0.042747125,0.042694166,0.04236739,0.04236739,0.042691305,0.04236739,0.04236739,0.04236739
7,0.042371042,0.04269779,0.0426674,0.042371042,0.042371042,0.042371042,0.042739626,0.107193604,0.042749114,0.042672634,0.042371042,0.042371042,0.042371042,0.042745605,0.04272805,0.042678308,0.042675372,0.042371042,0.042371042,0.042371042,0.042371042,0.042371042
8,0.042417146,0.042783253,0.042753205,0.042417146,0.042417146,0.042417146,0.042811546,0.10592845,0.04282023,0.04273817,0.042417146,0.042417146,0.042417146,0.042860657,0.042802747,0.042417146,0.04273723,0.042417146,0.042758755,0.042417146,0.042417146,0.042417146
9,0.04240662,0.042751443,0.042729005,0.042707566,0.04240662,0.04240662,0.042774603,0.10637595,0.042788316,0.042709716,0.04240662,0.04240662,0.04240662,0.042799648,0.04277599,0.04240662,0.04270828,0.04240662,0.04240662,0.04240662,0.04240662,0.04240662
10,0.0424784,0.042854916,0.042834245,0.0424784,0.0424784,0.0424784,0.042887338,0.10451177,0.042894233,0.042825207,0.0424784,0.0424784,0.0424784,0.042908628,0.042889047,0.0424784,0.04282974,0.0424784,0.04282404,0.0424784,0.0424784,0.0424784
11,0.04260938,0.04305724,0.04302187,0.04260938,0.04260938,0.04260938,0.043087073,0.10117948,0.04308748,0.04301573,0.04260938,0.04260938,0.04260938,0.043111656,0.043082956,0.04260938,0.043026235,0.04260938,0.0430178,0.04260938,0.04260938,0.04260938
12,0.04264493,0.043071106,0.043027885,0.04264493,0.04264493,0.04264493,0.043113235,0.10063707,0.043114316,0.043028217,0.04264493,0.04264493,0.04264493,0.043132767,0.043090228,0.04302581,0.04302027,0.04264493,0.04264493,0.04264493,0.04264493,0.04264493
13,0.043104608,0.043129075,0.0426705,0.043082383,0.0426705,0.0426705,0.043151103,0.09979802,0.043153726,0.0426705,0.0426705,0.0426705,0.0426705,0.04320077,0.04314422,0.0426705,0.043091524,0.0426705,0.043098647,0.0426705,0.0426705,0.0426705
14,0.043078955,0.043133814,0.043080617,0.042688858,0.042688858,0.042688858,0.043164425,0.099563584,0.043167796,0.042688858,0.042688858,0.042688858,0.042688858,0.04320118,0.04315638,0.043090586,0.042688858,0.042688858,0.043096393,0.042688858,0.042688858,0.042688858
15,0.043207504,0.043234304,0.043168914,0.042741485,0.042741485,0.042741485,0.043243222,0.09818113,0.043245,0.043159172,0.042741485,0.042741485,0.042741485,0.043283783,0.043220263,0.043158922,0.042741485,0.042741485,0.042741485,0.042741485,0.042741485,0.042741485
16,0.043306466,0.043343633,0.042821053,0.042821053,0.042821053,0.042821053,0.043366477,0.096141875,0.04336215,0.042821053,0.042821053,0.042821053,0.042821053,0.043417666,0.04335746,0.043296605,0.043272708,0.042821053,0.043282285,0.042821053,0.042821053,0.042821053
17,0.043431267,0.04342921,0.043358207,0.042873092,0.042873092,0.042873092,0.043437663,0.09477031,0.043437645,0.042873092,0.042873092,0.042873092,0.042873092,0.04350971,0.043428008,0.04335521,0.042873092,0.042873092,0.04336563,0.042873092,0.042873092,0.042873092
18,0.043485634,0.04347292,0.042907875,0.043419946,0.042907875,0.042907875,0.043502446,0.09380725,0.043494474,0.042907875,0.042907875,0.042907875,0.042907875,0.043569032,0.043492682,0.043434225,0.042907875,0.042907875,0.04342687,0.042907875,0.042907875,0.042907875
19,0.043459482,0.043478496,0.042939637,0.042939637,0.042939637,0.042939637,0.04354167,0.09333283,0.0435155,0.042939637,0.042939637,0.042939637,0.042939637,0.043563336,0.043516465,0.043460228,0.04342573,0.042939637,0.04343064,0.042939637,0.042939637,0.042939637
20,0.043558434,0.04352839,0.043466333,0.043466818,0.042960413,0.042960413,0.043565765,0.09271973,0.043551363,0.042960413,0.042960413,0.042960413,0.042960413,0.043605838,0.043538027,0.043474298,0.042960413,0.042960413,0.042960413,0.042960413,0.042960413,0.042960413
21,0.043639813,0.04358053,0.043528013,0.043533314,0.04298933,0.04298933,0.043624684,0.09181815,0.043608565,0.04298933,0.04298933,0.04298933,0.04298933,0.043654904,0.04359897,0.04354112,0.04298933,0.04298933,0.04298933,0.04298933,0.04298933,0.04298933
22,0.043636207,0.043640558,0.04305794,0.04305794,0.04305794,0.04305794,0.043714546,0.090385824,0.04369402,0.04305794,0.04305794,0.04305794,0.04305794,0.043727066,0.04368949,0.043620694,0.043593664,0.04305794,0.0436026,0.04305794,0.04305794,0.04305794
23,0.04372927,0.043707296,0.04309047,0.04309047,0.04309047,0.04309047,0.04377326,0.089389116,0.043752592,0.04309047,0.04309047,0.04309047,0.04309047,0.04377521,0.043748688,0.04368958,0.043673158,0.04309047,0.04367615,0.04309047,0.04309047,0.04309047
24,0.043650478,0.043727487,0.043654434,0.043129127,0.043129127,0.043129127,0.043810766,0.088931255,0.043778904,0.043129127,0.043129127,0.043129127,0.043129127,0.04378759,0.043766864,0.043669347,0.043129127,0.043129127,0.043673303,0.043129127,0.043129127,0.043129127
25,0.04391914,0.043878358,0.04382429,0.04383361,0.043190684,0.043190684,0.043937594,0.086743094,0.04391569,0.043190684,0.043190684,0.043190684,0.043190684,0.04392729,0.04390265,0.04383008,0.043190684,0.043190684,0.043190684,0.043190684,0.043190684,0.043190684
26,0.04391366,0.043885395,0.04320735,0.043835875,0.04320735,0.04320735,0.043947026,0.086447656,0.04393415,0.04320735,0.04320735,0.04320735,0.04320735,0.043933626,0.0439215,0.043854207,0.04320735,0.04320735,0.04383865,0.04320735,0.04320735,0.04320735
27,0.04390403,0.043902423,0.04383822,0.043232802,0.043232802,0.043232802,0.043984067,0.086072624,0.04394477,0.043842815,0.043232802,0.043232802,0.043232802,0.04393552,0.04393113,0.04385082,0.043232802,0.043232802,0.043232802,0.043232802,0.043232802,0.043232802
28,0.043949425,0.043930415,0.04324954,0.04324954,0.04324954,0.04324954,0.044013593,0.08551502,0.043971524,0.04387535,0.04324954,0.04324954,0.04324954,0.043984562,0.04397554,0.043896805,0.04324954,0.04324954,0.043893237,0.04324954,0.04324954,0.04324954
29,0.04400519,0.04398188,0.043282274,0.043282274,0.043282274,0.043282274,0.044076223,0.08460972,0.044033986,0.043282274,0.043282274,0.043282274,0.043282274,0.04403665,0.04402555,0.043951426,0.043942243,0.043282274,0.043949913,0.043282274,0.043282274,0.043282274
30,0.044026718,0.044010784,0.043950323,0.04328671,0.04328671,0.04328671,0.04405721,0.0844605,0.044040333,0.04328671,0.04328671,0.04328671,0.04328671,0.044068314,0.04402856,0.043951184,0.04328671,0.04328671,0.043965556,0.04328671,0.04328671,0.04328671
31,0.04411129,0.04406894,0.043320455,0.043320455,0.043320455,0.043320455,0.04414459,0.08336232,0.04411224,0.043320455,0.044037454,0.043320455,0.043320455,0.044129666,0.04409972,0.04404095,0.04404734,0.043320455,0.043320455,0.043320455,0.043320455,0.043320455
32,0.04405991,0.044074837,0.04335601,0.04335601,0.04335601,0.04335601,0.044195555,0.08289626,0.04413842,0.044025302,0.04335601,0.04335601,0.04335601,0.044139903,0.044118855,0.044043247,0.04335601,0.04335601,0.04403566,0.04335601,0.04335601,0.04335601
33,0.043387655,0.044084612,0.043387655,0.043387655,0.043387655,0.043387655,0.044215262,0.08235391,0.04417941,0.04406761,0.044045534,0.043387655,0.043387655,0.044160537,0.044134874,0.044061754,0.04404464,0.043387655,0.043387655,0.043387655,0.043387655,0.043387655
34,0.044192858,0.044161007,0.04409718,0.043385107,0.043385107,0.043385107,0.04423043,0.08190443,0.044194836,0.043385107,0.043385107,0.043385107,0.043385107,0.044217944,0.044163562,0.043385107,0.044097695,0.043385107,0.044118743,0.043385107,0.043385107,0.043385107
